Data_ID,Dia,Mes,Ano,Data_Completa
1,1,1,2020,2020-01-01
2,2,1,2020,2020-01-02
3,3,1,2020,2020-01-03
4,4,1,2020,2020-01-04
5,5,1,2020,2020-01-05
6,6,1,2020,2020-01-06
7,7,1,2020,2020-01-07
8,8,1,2020,2020-01-08
9,9,1,2020,2020-01-09
10,10,1,2020,2020-01-10
11,11,1,2020,2020-01-11
12,12,1,2020,2020-01-12
13,13,1,2020,2020-01-13
14,14,1,2020,2020-01-14
15,15,1,2020,2020-01-15
16,16,1,2020,2020-01-16
17,17,1,2020,2020-01-17
18,18,1,2020,2020-01-18
19,19,1,2020,2020-01-19
20,20,1,2020,2020-01-20
21,21,1,2020,2020-01-21
22,22,1,2020,2020-01-22
23,23,1,2020,2020-01-23
24,24,1,2020,2020-01-24
25,25,1,2020,2020-01-25
26,26,1,2020,2020-01-26
27,27,1,2020,2020-01-27
28,28,1,2020,2020-01-28
29,29,1,2020,2020-01-29
30,30,1,2020,2020-01-30
31,31,1,2020,2020-01-31
32,1,2,2020,2020-02-01
33,2,2,2020,2020-02-02
34,3,2,2020,2020-02-03
35,4,2,2020,2020-02-04
36,5,2,2020,2020-02-05
37,6,2,2020,2020-02-06
38,7,2,2020,2020-02-07
39,8,2,2020,2020-02-08
40,9,2,2020,2020-02-09
41,10,2,2020,2020-02-10
42,11,2,2020,2020-02-11
43,12,2,2020,2020-02-12
44,13,2,2020,2020-02-13
45,14,2,2020,2020-02-14
46,15,2,2020,2020-02-15
47,16,2,2020,2020-02-16
48,17,2,2020,2020-02-17
49,18,2,2020,2020-02-18
50,19,2,2020,2020-02-19
51,20,2,2020,2020-02-20
52,21,2,2020,2020-02-21
53,22,2,2020,2020-02-22
54,23,2,2020,2020-02-23
55,24,2,2020,2020-02-24
56,25,2,2020,2020-02-25
57,26,2,2020,2020-02-26
58,27,2,2020,2020-02-27
59,28,2,2020,2020-02-28
60,29,2,2020,2020-02-29
61,1,3,2020,2020-03-01
62,2,3,2020,2020-03-02
63,3,3,2020,2020-03-03
64,4,3,2020,2020-03-04
65,5,3,2020,2020-03-05
66,6,3,2020,2020-03-06
67,7,3,2020,2020-03-07
68,8,3,2020,2020-03-08
69,9,3,2020,2020-03-09
70,10,3,2020,2020-03-10
71,11,3,2020,2020-03-11
72,12,3,2020,2020-03-12
73,13,3,2020,2020-03-13
74,14,3,2020,2020-03-14
75,15,3,2020,2020-03-15
76,16,3,2020,2020-03-16
77,17,3,2020,2020-03-17
78,18,3,2020,2020-03-18
79,19,3,2020,2020-03-19
80,20,3,2020,2020-03-20
81,21,3,2020,2020-03-21
82,22,3,2020,2020-03-22
83,23,3,2020,2020-03-23
84,24,3,2020,2020-03-24
85,25,3,2020,2020-03-25
86,26,3,2020,2020-03-26
87,27,3,2020,2020-03-27
88,28,3,2020,2020-03-28
89,29,3,2020,2020-03-29
90,30,3,2020,2020-03-30
91,31,3,2020,2020-03-31
92,1,4,2020,2020-04-01
93,2,4,2020,2020-04-02
94,3,4,2020,2020-04-03
95,4,4,2020,2020-04-04
96,5,4,2020,2020-04-05
97,6,4,2020,2020-04-06
98,7,4,2020,2020-04-07
99,8,4,2020,2020-04-08
100,9,4,2020,2020-04-09
101,10,4,2020,2020-04-10
102,11,4,2020,2020-04-11
103,12,4,2020,2020-04-12
104,13,4,2020,2020-04-13
105,14,4,2020,2020-04-14
106,15,4,2020,2020-04-15
107,16,4,2020,2020-04-16
108,17,4,2020,2020-04-17
109,18,4,2020,2020-04-18
110,19,4,2020,2020-04-19
111,20,4,2020,2020-04-20
112,21,4,2020,2020-04-21
113,22,4,2020,2020-04-22
114,23,4,2020,2020-04-23
115,24,4,2020,2020-04-24
116,25,4,2020,2020-04-25
117,26,4,2020,2020-04-26
118,27,4,2020,2020-04-27
119,28,4,2020,2020-04-28
120,29,4,2020,2020-04-29
121,30,4,2020,2020-04-30
122,1,5,2020,2020-05-01
123,2,5,2020,2020-05-02
124,3,5,2020,2020-05-03
125,4,5,2020,2020-05-04
126,5,5,2020,2020-05-05
127,6,5,2020,2020-05-06
128,7,5,2020,2020-05-07
129,8,5,2020,2020-05-08
130,9,5,2020,2020-05-09
131,10,5,2020,2020-05-10
132,11,5,2020,2020-05-11
133,12,5,2020,2020-05-12
